text,label
شمس مثقفة و جميلة وايد ... و احلام ههههععع ما اقول,1
احلام اني حبيتها اكثر لان  انظلمت كثير من الناس  هي امراه قويه وكبيره في عيونا وليسه محتشم,0
كبرلفك والله دايضحكون عليج,0
والله كلامه صحيح عن شمس,0
ذكرى ما نسيناك وما حد بينسينا صوتك الجميل وطيبتك وقدراتك الغير موجوده في أي بشر رحمك الله,0
الله يرحمك اسمعو صوتها وراح تتئكدون انتي النكره والنشاز إذا جاء اسم ذكرى توقفين احترام وتقدير لها مين قال ان صوتك حلو,1
اسمعي هاذا انت والصدفه ووش إخباري واحذرك وفرصه اخيره وجميع اغانيها اتحداك إذا قدرتي تتقني نص احساسها وصوتها والله يرحم الفن من بعدك ياذكرى,0
حتى الليبي اتقنته,0
غنت لجميع الدوول العربيه,0
,0
احلام   انسانة  فاقدة  توازنههديها ا  تحتاج  الى العلاج    اللة يهديها,1
الحمد لله ماراح تشارك,0
احلام عفويه واعتقد ان قلبها كثير طيب,0
والله فنانات لاشكل ولا منظر ولا صوت بدون  مكياج تقرف تنظر لهم  ولا اى حد عجبهم  لا حول ولا قوة الا بالله,0
اني عراقي وموت بحلام احسن مطربة بل خليجً وكلبهة طيب وعلى نياتهة,0
انى كتير بكرهه,0
ملكة انا بموت فيك وفشخصيتك القوية وفعفويتك ملكة ملكة,0
فيديو حقيقي لاحلام بس ممكن أعرف مين الصحفي اللباني الي كان عم بعلق كلامو دقيق وعم يحكي كناقد مختص,0
والله انتي كل صوت ماعندك وكل ادب واخلاق ماعندك,1
احلا تحيه لاحلام بس الناس مقهورين منها,0
شي ميشبه شي😒,0
سلام اين الادب اين الاخلاق كسيات عريات خشب جهنم ياويلك ياويلك الدنيا فنيا نش دايمة,0
"انتم ليش زعلانين من احلام .... ولا تزعلوا ولا على بالكم ...الله عز وجل قال ...
بسم الله الرحمن الرحيم .. 
ولا يحزنك كفرهم .. صدق الله العظيم
وبعدين بدل الشتايم لاحلام انا باقترح تبعتولها رسائل تذكير بالله.... وبعدين احلام قديش بدها تعيش... يعني بدها تعيش كمان عشرين ثلاثين سنة ... اخريتها بين يدي الله ... وكلٌ آتي الرحمن فردا ... ويا حسرة علّي ظيع عمره في معصية الله",0
هاي ليس فنانة  وناماء  حوانيه,1
لو كانت متعلمه ما كان هذا حالها نقطه لسطر,0
حافضة القران خخخخخخخ,0
البغتابون أحلام ايغارون منها,0
أحلام رووووووووعه بكل شي  احبببببببببببببببببببببك من كل قلبي,0
ملكة جمال الخليج,0
مسكين صاحب القناة مقهور جدا من أحلام ويجمع الفيديوهات  طب ليش هذا الحسد والغيره,0
"بدنا كنتاكي   عاجل 
تكفون ياشباب الي عنده كنتاكي يجيبه         علا كل مطاعم كنتاكي العجله  
ماودنا مشاكل",0
اصلن هو ارب ايدل جيبنه علمود ايضحكون على حجيه,0
والله طاح حضه بهل فديوات,0
احلام ست الكل  ومافي اطيب من قلبا ولو كره الكارهون هي الملكة,0
والله بيناقص منها رايح يتهنا منها البرنامج  ًويكونواحلا.,0
نن يفوز,0
بصراحة اول مره تقول شي صح شمس بتستعرض جسمها مش فنانه,0
هلا يا جمهور كفا كفووووو كفوووووووو حقد و غيره و حسد على احلام اش فيها تبوس اعز، صديقتها عادي جدا تلاعبها كبنوته و الله خبث منكم  تنتهكون حرمتها و لا اروع من احلام  حاقدين عليها لانها ارقا منكم انا راح ادعمها بكل ثروتي,0
اميلها ملكا  هيا سميت نفسها ملكا,0
هاذه كذابه لو حافضه القران ماكان تغني,0
الله يشافيه مريضه,1
احلام ملكه,0
جنهة بومة عابت 😁😁😁😁😁😁😁😁😁😁,1
بلله يامبارك   تحب احلام,0
خبله باينه من تصرفاتها ام الكنتاكي ههههههه,1
نص مقطع كذاب أحلام نسانه محترمه,0
شاركت فوق خشمك,0
فنانت العرب احلام علا عين الحسود😜😜😜,0
بس لان كل حكيها صح انت مدايقين,0
شو ماعندكن شغلة غير احلام الله ياخدكن شعب بموت على التمسخر والشماتة ببعض,0
"مو نمسا بالتركي 
بالتركي اويودو يعني نام 
الترجمة مالتهم غلط اني مترجم تركماني في تركيا من اصل عراقي",0
يلههههههوي حافظة القرأن,0
هههههههههههههههههههههههه خرب حضي,0
بدي اقول للفنانه أحلام على قد مو ناجحه مشغلا بال الكل الكل تارك اشغالو وعم يدور ع شي كلمه يحكيها صح مثل ما قالت مقهورين,0
